τ,η,τ_x_η,skill_factor,A,β,σ,α,γ,success,effective_output,output_multiplier,labor_efficiency,technology_split,error_type
0.25129996936146204,0.7843111178496442,0.19709735988546964,1.3143090852314216,0.7864325351961231,0.9616558071211536,1.593525303739491,0.3342497101923337,0.011597782848057098,true,0.4950441662765906,0.8029026401145304,1.0,0.49999999999999994,none
0.10415745692006971,1.6940419807446756,0.1764471046302031,2.8338953846120742,1.0653555972023747,0.9848116933751804,1.5010898760273657,0.34268996144319225,0.005918987293957081,true,0.701749916581315,0.8235528953697969,1.0,0.5,none
0.1919298831260364,0.8082736332568246,0.15513186396483913,1.8214241689599047,1.548887239501247,0.9348356902475004,2.396413042701276,0.4114187263729104,0.008139156609977775,true,1.1032041911525827,0.8448681360351609,1.0,0.49999999999999994,none
0.24191401544047453,0.8613691639993108,0.20837727323967792,3.079109738409844,1.0054535407098246,0.9633470626992053,3.143247915089616,0.39566588476172804,0.007647534072219137,false,NaN,0.7916227267603221,NaN,NaN,infeasible
0.14987602951906806,0.737070237012961,0.11046916060018104,2.513325917856604,1.4290540757616395,0.9675414351886718,3.0305404073506463,0.3155474166651484,0.015700088624209737,false,NaN,0.8895308393998189,NaN,NaN,ErrorException
0.19854276826102898,1.1120080083685115,0.22078114830991777,1.6464831297777982,1.1186230321016237,0.9881523018329023,1.7289615594596246,0.3657555662280624,0.009480092529202781,true,0.67507152508386,0.7792188516900822,1.0,0.49999999999999994,none
0.18845049844142006,1.4070216759937935,0.26515393615891264,2.297912838405369,1.5921116701106786,0.947363253581705,2.84991892169917,0.30001160418446576,0.005151933886422981,false,NaN,0.7348460638410874,NaN,NaN,infeasible
0.2572893902236991,1.0845252715775295,0.2790368458063743,0.7927892100329019,1.111732008674774,0.9413007557186724,1.3860632176986951,0.2751660367688643,0.008673122744928194,true,0.5585961463591215,0.7209631541936257,1.0,0.49999999999999994,none
0.1697248430352313,1.1977093531031446,0.20328103195725966,1.117523856271707,0.8911256886406556,0.983566241937999,2.523847465798255,0.2766747782289932,0.0060075867555802,false,NaN,0.7967189680427403,NaN,NaN,infeasible
0.2420437490718728,1.101215625088906,0.2665423584330447,1.3152560825382555,1.2260347340131768,0.9772521744554499,2.0532409191243968,0.3222959553040186,0.015518233188091996,false,NaN,0.7334576415669554,NaN,NaN,infeasible
0.2786281443853203,1.2825503920966468,0.35735463583055366,0.7527131213998326,1.1383369483666914,0.9620485360455591,1.777785721853908,0.31594972466125737,0.015013034480506636,false,NaN,0.6426453641694463,NaN,NaN,infeasible
